event_id,item_id,sidx,loss
1,1,-3,100000.0
1,1,-2,0.0
1,1,-1,0.0
1,1,1,100000.0
1,2,-3,40000.0
1,2,-2,0.0
1,2,-1,0.0
1,2,1,40000.0
1,3,-3,10000.0
1,3,-2,0.0
1,3,-1,0.0
1,3,1,10000.0
1,4,-3,100000.0
1,4,-2,0.0
1,4,-1,0.0
1,4,1,100000.0
1,5,-3,40000.0
1,5,-2,0.0
1,5,-1,0.0
1,5,1,40000.0
1,6,-3,10000.0
1,6,-2,0.0
1,6,-1,0.0
1,6,1,10000.0
1,7,-3,100000.0
1,7,-2,0.0
1,7,-1,0.0
1,7,1,100000.0
1,8,-3,40000.0
1,8,-2,0.0
1,8,-1,0.0
1,8,1,40000.0
1,9,-3,10000.0
1,9,-2,0.0
1,9,-1,0.0
1,9,1,10000.0
1,10,-3,100000.0
1,10,-2,0.0
1,10,-1,0.0
1,10,1,100000.0
1,11,-3,40000.0
1,11,-2,0.0
1,11,-1,0.0
1,11,1,40000.0
1,12,-3,10000.0
1,12,-2,0.0
1,12,-1,0.0
1,12,1,10000.0
1,13,-3,100000.0
1,13,-2,0.0
1,13,-1,0.0
1,13,1,100000.0
1,14,-3,40000.0
1,14,-2,0.0
1,14,-1,0.0
1,14,1,40000.0
1,15,-3,10000.0
1,15,-2,0.0
1,15,-1,0.0
1,15,1,10000.0
1,16,-3,100000.0
1,16,-2,0.0
1,16,-1,0.0
1,16,1,100000.0
1,17,-3,40000.0
1,17,-2,0.0
1,17,-1,0.0
1,17,1,40000.0
1,18,-3,10000.0
1,18,-2,0.0
1,18,-1,0.0
1,18,1,10000.0
1,19,-3,100000.0
1,19,-2,0.0
1,19,-1,0.0
1,19,1,100000.0
1,20,-3,40000.0
1,20,-2,0.0
1,20,-1,0.0
1,20,1,40000.0
1,21,-3,10000.0
1,21,-2,0.0
1,21,-1,0.0
1,21,1,10000.0
1,22,-3,100000.0
1,22,-2,0.0
1,22,-1,0.0
1,22,1,100000.0
1,23,-3,40000.0
1,23,-2,0.0
1,23,-1,0.0
1,23,1,40000.0
1,24,-3,10000.0
1,24,-2,0.0
1,24,-1,0.0
1,24,1,10000.0
1,25,-3,100000.0
1,25,-2,0.0
1,25,-1,0.0
1,25,1,100000.0
1,26,-3,40000.0
1,26,-2,0.0
1,26,-1,0.0
1,26,1,40000.0
1,27,-3,10000.0
1,27,-2,0.0
1,27,-1,0.0
1,27,1,10000.0
1,28,-3,100000.0
1,28,-2,0.0
1,28,-1,0.0
1,28,1,100000.0
1,29,-3,40000.0
1,29,-2,0.0
1,29,-1,0.0
1,29,1,40000.0
1,30,-3,10000.0
1,30,-2,0.0
1,30,-1,0.0
1,30,1,10000.0
1,31,-3,100000.0
1,31,-2,0.0
1,31,-1,0.0
1,31,1,100000.0
1,32,-3,40000.0
1,32,-2,0.0
1,32,-1,0.0
1,32,1,40000.0
