layer_id,level_id,agg_id,policytc_id
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,1,6,1
1,1,7,1
1,1,8,1
1,1,9,1
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,1
1,1,14,1
1,1,15,1
1,1,16,1
1,1,17,1
1,1,18,1
1,1,19,1
1,1,20,1
1,1,21,1
1,1,22,1
1,1,23,1
1,1,24,1
1,1,25,1
1,1,26,1
1,1,27,1
1,1,28,1
1,1,29,1
1,1,30,1
1,1,31,1
1,1,32,1
1,2,1,2
1,2,2,3
1,2,3,3
1,2,4,3
1,2,5,3
1,2,6,3
1,2,7,2
1,2,8,3
1,2,9,2
1,2,10,3
1,2,11,3
1,2,12,2
1,2,13,3
1,2,14,2
1,2,15,3
1,2,16,4
1,2,17,3
1,2,18,3
1,2,19,3
1,2,20,3
1,2,21,3
1,2,22,4
1,2,23,3
1,2,24,4
1,2,25,3
1,2,26,3
1,2,27,4
1,2,28,3
1,2,29,4
1,2,30,3
