level_id,agg_id,layer_id,profile_id
3,1,1,4
2,1,1,3
2,2,1,1
2,3,1,1
2,4,1,1
2,5,1,1
2,6,1,1
2,7,1,1
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,12,1,1
2,13,1,1
2,14,1,1
2,15,1,1
2,16,1,1
2,17,1,1
2,18,1,1
2,19,1,1
2,20,1,1
2,21,1,1
2,22,1,1
2,23,1,1
2,24,1,1
2,25,1,1
2,26,1,1
2,27,1,1
2,28,1,1
2,29,1,1
2,30,1,1
2,31,1,1
2,32,1,1
2,33,1,1
2,34,1,1
2,35,1,1
2,36,1,1
2,37,1,1
2,38,1,1
2,39,1,1
2,40,1,1
2,41,1,1
2,42,1,1
2,43,1,1
2,44,1,1
2,45,1,1
2,46,1,1
2,47,1,1
2,48,1,1
2,49,1,1
2,50,1,1
2,51,1,1
1,1,1,2
1,2,1,2
1,3,1,2
1,4,1,2
1,5,1,2
1,6,1,2
1,7,1,2
1,8,1,2
1,9,1,2
1,10,1,2
1,11,1,2
1,12,1,2
1,13,1,2
1,14,1,2
1,15,1,2
1,16,1,2
1,17,1,2
1,18,1,2
1,19,1,2
1,20,1,2
1,21,1,2
1,22,1,2
1,23,1,2
1,24,1,2
1,25,1,2
1,26,1,2
1,27,1,2
1,28,1,2
1,29,1,2
1,30,1,2
1,31,1,2
1,32,1,2
1,33,1,2
1,34,1,2
1,35,1,2
1,36,1,2
1,37,1,2
1,38,1,2
1,39,1,2
1,40,1,2
1,41,1,2
1,42,1,2
1,43,1,2
1,44,1,2
1,45,1,2
1,46,1,2
1,47,1,2
1,48,1,2
1,49,1,2
1,50,1,2
1,51,1,2
3,1,2,6
2,1,2,1
2,2,2,1
2,3,2,1
2,4,2,1
2,5,2,1
2,6,2,1
2,7,2,1
2,8,2,1
2,9,2,1
2,10,2,5
2,11,2,1
2,12,2,1
2,13,2,1
2,14,2,1
2,15,2,1
2,16,2,1
2,17,2,1
2,18,2,1
2,19,2,1
2,20,2,1
2,21,2,1
2,22,2,1
2,23,2,1
2,24,2,1
2,25,2,1
2,26,2,1
2,27,2,1
2,28,2,1
2,29,2,1
2,30,2,1
2,31,2,1
2,32,2,1
2,33,2,1
2,34,2,1
2,35,2,1
2,36,2,1
2,37,2,1
2,38,2,1
2,39,2,1
2,40,2,1
2,41,2,1
2,42,2,1
2,43,2,1
2,44,2,1
2,45,2,1
2,46,2,1
2,47,2,1
2,48,2,1
2,49,2,1
2,50,2,1
2,51,2,1
1,1,2,2
1,2,2,2
1,3,2,2
1,4,2,2
1,5,2,2
1,6,2,2
1,7,2,2
1,8,2,2
1,9,2,2
1,10,2,2
1,11,2,2
1,12,2,2
1,13,2,2
1,14,2,2
1,15,2,2
1,16,2,2
1,17,2,2
1,18,2,2
1,19,2,2
1,20,2,2
1,21,2,2
1,22,2,2
1,23,2,2
1,24,2,2
1,25,2,2
1,26,2,2
1,27,2,2
1,28,2,2
1,29,2,2
1,30,2,2
1,31,2,2
1,32,2,2
1,33,2,2
1,34,2,2
1,35,2,2
1,36,2,2
1,37,2,2
1,38,2,2
1,39,2,2
1,40,2,2
1,41,2,2
1,42,2,2
1,43,2,2
1,44,2,2
1,45,2,2
1,46,2,2
1,47,2,2
1,48,2,2
1,49,2,2
1,50,2,2
1,51,2,2
3,1,3,8
2,1,3,1
2,2,3,1
2,3,3,1
2,4,3,1
2,5,3,1
2,6,3,1
2,7,3,1
2,8,3,1
2,9,3,1
2,10,3,1
2,11,3,1
2,12,3,1
2,13,3,1
2,14,3,1
2,15,3,7
2,16,3,1
2,17,3,1
2,18,3,1
2,19,3,1
2,20,3,1
2,21,3,1
2,22,3,1
2,23,3,1
2,24,3,1
2,25,3,1
2,26,3,1
2,27,3,1
2,28,3,1
2,29,3,1
2,30,3,1
2,31,3,1
2,32,3,1
2,33,3,1
2,34,3,1
2,35,3,1
2,36,3,1
2,37,3,1
2,38,3,1
2,39,3,1
2,40,3,1
2,41,3,1
2,42,3,1
2,43,3,1
2,44,3,1
2,45,3,1
2,46,3,1
2,47,3,1
2,48,3,1
2,49,3,1
2,50,3,1
2,51,3,1
1,1,3,2
1,2,3,2
1,3,3,2
1,4,3,2
1,5,3,2
1,6,3,2
1,7,3,2
1,8,3,2
1,9,3,2
1,10,3,2
1,11,3,2
1,12,3,2
1,13,3,2
1,14,3,2
1,15,3,2
1,16,3,2
1,17,3,2
1,18,3,2
1,19,3,2
1,20,3,2
1,21,3,2
1,22,3,2
1,23,3,2
1,24,3,2
1,25,3,2
1,26,3,2
1,27,3,2
1,28,3,2
1,29,3,2
1,30,3,2
1,31,3,2
1,32,3,2
1,33,3,2
1,34,3,2
1,35,3,2
1,36,3,2
1,37,3,2
1,38,3,2
1,39,3,2
1,40,3,2
1,41,3,2
1,42,3,2
1,43,3,2
1,44,3,2
1,45,3,2
1,46,3,2
1,47,3,2
1,48,3,2
1,49,3,2
1,50,3,2
1,51,3,2
3,1,4,10
2,1,4,1
2,2,4,1
2,3,4,1
2,4,4,1
2,5,4,1
2,6,4,1
2,7,4,1
2,8,4,1
2,9,4,1
2,10,4,1
2,11,4,1
2,12,4,1
2,13,4,1
2,14,4,1
2,15,4,1
2,16,4,1
2,17,4,1
2,18,4,1
2,19,4,1
2,20,4,1
2,21,4,1
2,22,4,9
2,23,4,1
2,24,4,1
2,25,4,1
2,26,4,1
2,27,4,1
2,28,4,1
2,29,4,1
2,30,4,1
2,31,4,1
2,32,4,1
2,33,4,1
2,34,4,1
2,35,4,1
2,36,4,1
2,37,4,1
2,38,4,1
2,39,4,1
2,40,4,1
2,41,4,1
2,42,4,1
2,43,4,1
2,44,4,1
2,45,4,1
2,46,4,1
2,47,4,1
2,48,4,1
2,49,4,1
2,50,4,1
2,51,4,1
1,1,4,2
1,2,4,2
1,3,4,2
1,4,4,2
1,5,4,2
1,6,4,2
1,7,4,2
1,8,4,2
1,9,4,2
1,10,4,2
1,11,4,2
1,12,4,2
1,13,4,2
1,14,4,2
1,15,4,2
1,16,4,2
1,17,4,2
1,18,4,2
1,19,4,2
1,20,4,2
1,21,4,2
1,22,4,2
1,23,4,2
1,24,4,2
1,25,4,2
1,26,4,2
1,27,4,2
1,28,4,2
1,29,4,2
1,30,4,2
1,31,4,2
1,32,4,2
1,33,4,2
1,34,4,2
1,35,4,2
1,36,4,2
1,37,4,2
1,38,4,2
1,39,4,2
1,40,4,2
1,41,4,2
1,42,4,2
1,43,4,2
1,44,4,2
1,45,4,2
1,46,4,2
1,47,4,2
1,48,4,2
1,49,4,2
1,50,4,2
1,51,4,2
3,1,5,12
2,1,5,1
2,2,5,1
2,3,5,1
2,4,5,1
2,5,5,1
2,6,5,1
2,7,5,1
2,8,5,1
2,9,5,1
2,10,5,1
2,11,5,1
2,12,5,1
2,13,5,1
2,14,5,1
2,15,5,1
2,16,5,1
2,17,5,1
2,18,5,1
2,19,5,1
2,20,5,1
2,21,5,1
2,22,5,1
2,23,5,1
2,24,5,11
2,25,5,1
2,26,5,1
2,27,5,1
2,28,5,1
2,29,5,1
2,30,5,1
2,31,5,1
2,32,5,1
2,33,5,1
2,34,5,1
2,35,5,1
2,36,5,1
2,37,5,1
2,38,5,1
2,39,5,1
2,40,5,1
2,41,5,1
2,42,5,1
2,43,5,1
2,44,5,1
2,45,5,1
2,46,5,1
2,47,5,1
2,48,5,1
2,49,5,1
2,50,5,1
2,51,5,1
1,1,5,2
1,2,5,2
1,3,5,2
1,4,5,2
1,5,5,2
1,6,5,2
1,7,5,2
1,8,5,2
1,9,5,2
1,10,5,2
1,11,5,2
1,12,5,2
1,13,5,2
1,14,5,2
1,15,5,2
1,16,5,2
1,17,5,2
1,18,5,2
1,19,5,2
1,20,5,2
1,21,5,2
1,22,5,2
1,23,5,2
1,24,5,2
1,25,5,2
1,26,5,2
1,27,5,2
1,28,5,2
1,29,5,2
1,30,5,2
1,31,5,2
1,32,5,2
1,33,5,2
1,34,5,2
1,35,5,2
1,36,5,2
1,37,5,2
1,38,5,2
1,39,5,2
1,40,5,2
1,41,5,2
1,42,5,2
1,43,5,2
1,44,5,2
1,45,5,2
1,46,5,2
1,47,5,2
1,48,5,2
1,49,5,2
1,50,5,2
1,51,5,2
3,1,6,14
2,1,6,1
2,2,6,1
2,3,6,1
2,4,6,1
2,5,6,1
2,6,6,1
2,7,6,1
2,8,6,1
2,9,6,1
2,10,6,1
2,11,6,1
2,12,6,1
2,13,6,1
2,14,6,1
2,15,6,1
2,16,6,1
2,17,6,1
2,18,6,1
2,19,6,1
2,20,6,1
2,21,6,1
2,22,6,1
2,23,6,1
2,24,6,1
2,25,6,1
2,26,6,1
2,27,6,1
2,28,6,1
2,29,6,1
2,30,6,13
2,31,6,1
2,32,6,1
2,33,6,1
2,34,6,1
2,35,6,1
2,36,6,1
2,37,6,1
2,38,6,1
2,39,6,1
2,40,6,1
2,41,6,1
2,42,6,1
2,43,6,1
2,44,6,1
2,45,6,1
2,46,6,1
2,47,6,1
2,48,6,1
2,49,6,1
2,50,6,1
2,51,6,1
1,1,6,2
1,2,6,2
1,3,6,2
1,4,6,2
1,5,6,2
1,6,6,2
1,7,6,2
1,8,6,2
1,9,6,2
1,10,6,2
1,11,6,2
1,12,6,2
1,13,6,2
1,14,6,2
1,15,6,2
1,16,6,2
1,17,6,2
1,18,6,2
1,19,6,2
1,20,6,2
1,21,6,2
1,22,6,2
1,23,6,2
1,24,6,2
1,25,6,2
1,26,6,2
1,27,6,2
1,28,6,2
1,29,6,2
1,30,6,2
1,31,6,2
1,32,6,2
1,33,6,2
1,34,6,2
1,35,6,2
1,36,6,2
1,37,6,2
1,38,6,2
1,39,6,2
1,40,6,2
1,41,6,2
1,42,6,2
1,43,6,2
1,44,6,2
1,45,6,2
1,46,6,2
1,47,6,2
1,48,6,2
1,49,6,2
1,50,6,2
1,51,6,2
