output,agg_id,layer_id
1,1,4
2,2,4
3,3,4
4,4,4
5,5,4
6,6,4
7,7,4
8,8,4
9,9,4
10,10,4
11,11,4
12,12,4
13,13,4
14,14,4
15,15,4
16,16,4
17,17,4
18,18,4
19,19,4
20,20,4
21,21,4
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,4
28,28,4
29,29,4
30,30,4
31,31,4
32,32,4
33,33,4
34,34,4
35,35,4
36,36,4
37,37,4
38,38,4
39,39,4
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,4
63,63,4
64,64,4
65,65,4
66,66,4
67,67,4
68,68,4
69,69,4
70,70,4
71,71,4
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,4
80,80,4
81,81,4
82,82,4
83,83,4
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,4
90,90,4
91,91,4
92,92,4
93,93,4
94,94,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,4
100,100,4
101,101,4
102,102,4
103,103,4
104,104,4
105,105,4
106,106,4
107,107,4
108,108,4
109,109,4
110,110,4
111,111,4
112,112,4
113,113,4
114,114,4
115,115,4
116,116,4
117,117,4
118,118,4
119,119,4
120,120,4
121,121,4
122,122,4
123,123,4
124,124,4
125,125,4
126,126,4
127,127,4
128,128,4
129,129,4
130,130,4
131,131,4
132,132,4
133,133,4
134,134,4
135,135,4
136,136,4
137,137,4
138,138,4
139,139,4
140,140,4
141,141,4
142,142,4
143,143,4
144,144,4
145,145,4
146,146,4
147,147,4
148,148,4
149,149,4
150,150,4
151,151,4
152,152,4
153,153,4
154,154,4
155,155,4
156,156,4
157,157,4
158,158,4
159,159,4
160,160,4
161,161,4
162,162,4
163,163,4
164,164,4
165,165,4
166,166,4
167,167,4
168,168,4
169,169,4
170,170,4
171,171,4
172,172,4
173,173,4
174,174,4
175,175,4
176,176,4
177,177,4
178,178,4
179,179,4
180,180,4
181,181,4
182,182,4
183,183,4
184,184,4
185,185,4
186,186,4
187,187,4
188,188,4
189,189,4
190,190,4
191,191,4
192,192,4
193,193,4
194,194,4
195,195,4
196,196,4
197,197,4
198,198,4
199,199,4
200,200,4
201,201,4
202,202,4
203,203,4
204,204,4
205,205,4
206,206,4
207,207,4
208,208,4
209,209,4
210,210,4
211,211,4
212,212,4
213,213,4
214,214,4
215,215,4
216,216,4
217,217,4
218,218,4
219,219,4
220,220,4
221,221,4
222,222,4
223,223,4
224,224,4
225,225,4
226,226,4
227,227,4
228,228,4
229,229,4
230,230,4
231,231,4
232,232,4
233,233,4
234,234,4
235,235,4
236,236,4
237,237,4
238,238,4
239,239,4
240,240,4
241,241,4
242,242,4
243,243,4
244,244,4
245,245,4
246,246,4
247,247,4
248,248,4
249,249,4
250,250,4
251,251,4
252,252,4
253,253,4
254,254,4
255,255,4
256,256,4
257,257,4
258,258,4
259,259,4
260,260,4
261,261,4
262,262,4
263,263,4
264,264,4
265,265,4
266,266,4
267,267,4
268,268,4
269,269,4
270,270,4
271,271,4
272,272,4
273,273,4
274,274,4
275,275,4
276,276,4
277,277,4
278,278,4
279,279,4
280,280,4
281,281,4
282,282,4
283,283,4
284,284,4
285,285,4
286,286,4
287,287,4
288,288,4
289,289,4
290,290,4
291,291,4
292,292,4
293,293,4
294,294,4
295,295,4
296,296,4
297,297,4
298,298,4
299,299,4
300,300,4
301,301,4
302,302,4
303,303,4
304,304,4
305,305,4
306,306,4
307,307,4
308,308,4
309,309,4
310,310,4
311,311,4
312,312,4
313,313,4
314,314,4
315,315,4
316,316,4
317,317,4
318,318,4
319,319,4
320,320,4
321,321,4
322,322,4
323,323,4
324,324,4
325,325,4
326,326,4
327,327,4
328,328,4
329,329,4
330,330,4
331,331,4
332,332,4
333,333,4
334,334,4
335,335,4
336,336,4
337,337,4
338,338,4
339,339,4
340,340,4
341,341,4
342,342,4
343,343,4
344,344,4
345,345,4
346,346,4
347,347,4
348,348,4
349,349,4
350,350,4
351,351,4
352,352,4
353,353,4
354,354,4
355,355,4
356,356,4
357,357,4
358,358,4
359,359,4
360,360,4
361,361,4
362,362,4
363,363,4
364,364,4
365,365,4
366,366,4
367,367,4
368,368,4
369,369,4
370,370,4
371,371,4
372,372,4
373,373,4
374,374,4
375,375,4
376,376,4
377,377,4
378,378,4
379,379,4
380,380,4
381,381,4
382,382,4
383,383,4
384,384,4
385,385,4
386,386,4
387,387,4
388,388,4
389,389,4
390,390,4
391,391,4
392,392,4
393,393,4
394,394,4
395,395,4
396,396,4
397,397,4
398,398,4
399,399,4
400,400,4
401,401,4
402,402,4
403,403,4
404,404,4
405,405,4
406,406,4
407,407,4
408,408,4
409,409,4
410,410,4
411,411,4
412,412,4
413,413,4
414,414,4
415,415,4
416,416,4
417,417,4
418,418,4
419,419,4
420,420,4
421,421,4
422,422,4
423,423,4
424,424,4
425,425,4
426,426,4
427,427,4
428,428,4
429,429,4
430,430,4
431,431,4
432,432,4
433,433,4
434,434,4
435,435,4
436,436,4
437,437,4
438,438,4
439,439,4
440,440,4
441,441,4
442,442,4
443,443,4
444,444,4
445,445,4
446,446,4
447,447,4
448,448,4
449,449,4
450,450,4
451,451,4
452,452,4
453,453,4
454,454,4
455,455,4
456,456,4
457,457,4
458,458,4
459,459,4
460,460,4
461,461,4
462,462,4
463,463,4
464,464,4
465,465,4
466,466,4
467,467,4
468,468,4
469,469,4
470,470,4
471,471,4
472,472,4
473,473,4
474,474,4
475,475,4
476,476,4
477,477,4
478,478,4
479,479,4
480,480,4
481,481,4
482,482,4
483,483,4
484,484,4
485,485,4
486,486,4
487,487,4
488,488,4
489,489,4
490,490,4
491,491,4
492,492,4
493,493,4
494,494,4
495,495,4
496,496,4
497,497,4
498,498,4
499,499,4
500,500,4
501,501,4
502,502,4
503,503,4
504,504,4
505,505,4
506,506,4
507,507,4
508,508,4
509,509,4
510,510,4
511,511,4
512,512,4
513,513,4
514,514,4
515,515,4
516,516,4
517,517,4
518,518,4
519,519,4
520,520,4
521,521,4
522,522,4
523,523,4
524,524,4
525,525,4
526,526,4
527,527,4
528,528,4
529,529,4
530,530,4
531,531,4
532,532,4
533,533,4
534,534,4
535,535,4
536,536,4
537,537,4
538,538,4
539,539,4
540,540,4
541,541,4
542,542,4
543,543,4
544,544,4
545,545,4
546,546,4
547,547,4
548,548,4
549,549,4
550,550,4
551,551,4
552,552,4
553,553,4
554,554,4
555,555,4
556,556,4
557,557,4
558,558,4
559,559,4
560,560,4
561,561,4
562,562,4
563,563,4
564,564,4
565,565,4
566,566,4
567,567,4
568,568,4
569,569,4
570,570,4
571,571,4
572,572,4
573,573,4
574,574,4
575,575,4
576,576,4
577,577,4
578,578,4
579,579,4
580,580,4
581,581,4
582,582,4
583,583,4
584,584,4
585,585,4
586,586,4
587,587,4
588,588,4
589,589,4
590,590,4
591,591,4
592,592,4
593,593,4
594,594,4
595,595,4
596,596,4
597,597,4
598,598,4
599,599,4
600,600,4
601,601,4
602,602,4
603,603,4
604,604,4
605,605,4
606,606,4
607,607,4
608,608,4
609,609,4
610,610,4
611,611,4
612,612,4
613,613,4
