output,agg_id,layer_id
1,1,30
2,2,30
3,3,30
4,4,30
5,5,30
6,6,30
7,7,30
8,8,30
9,9,30
10,10,30
11,11,30
12,12,30
13,13,30
14,14,30
15,15,30
16,16,30
17,17,30
18,18,30
19,19,30
20,20,30
21,21,30
22,22,30
23,23,30
24,24,30
25,25,30
26,26,30
27,27,30
28,28,30
29,29,30
30,30,30
31,31,30
32,32,30
33,33,30
34,34,30
35,35,30
36,36,30
37,37,30
38,38,30
39,39,30
40,40,30
41,41,30
42,42,30
43,43,30
44,44,30
45,45,30
46,46,30
47,47,30
48,48,30
49,49,30
50,50,30
51,51,30
52,52,30
53,53,30
54,54,30
55,55,30
56,56,30
57,57,30
58,58,30
59,59,30
60,60,30
61,61,30
62,62,30
63,63,30
64,64,30
65,65,30
66,66,30
67,67,30
68,68,30
69,69,30
70,70,30
71,71,30
72,72,30
73,73,30
74,74,30
75,75,30
76,76,30
77,77,30
78,78,30
79,79,30
80,80,30
81,81,30
82,82,30
83,83,30
84,84,30
85,85,30
86,86,30
87,87,30
88,88,30
89,89,30
90,90,30
91,91,30
92,92,30
93,93,30
94,94,30
95,95,30
96,96,30
97,97,30
98,98,30
99,99,30
100,100,30
101,101,30
102,102,30
103,103,30
104,104,30
105,105,30
106,106,30
107,107,30
108,108,30
109,109,30
110,110,30
111,111,30
112,112,30
113,113,30
114,114,30
115,115,30
116,116,30
117,117,30
118,118,30
119,119,30
120,120,30
