output,agg_id,layer_id
1,1,3
2,2,3
3,3,3
4,4,3
5,5,3
6,6,3
7,7,3
8,8,3
9,9,3
10,10,3
11,11,3
12,12,3
13,13,3
14,14,3
15,15,3
16,16,3
17,17,3
18,18,3
19,19,3
20,20,3
21,21,3
22,22,3
23,23,3
24,24,3
25,25,3
26,26,3
27,27,3
28,28,3
29,29,3
30,30,3
31,31,3
32,32,3
33,33,3
34,34,3
35,35,3
36,36,3
37,37,3
38,38,3
39,39,3
40,40,3
41,41,3
42,42,3
43,43,3
44,44,3
45,45,3
46,46,3
47,47,3
48,48,3
49,49,3
50,50,3
51,51,3
52,52,3
53,53,3
54,54,3
55,55,3
56,56,3
57,57,3
58,58,3
59,59,3
60,60,3
61,61,3
62,62,3
63,63,3
64,64,3
65,65,3
66,66,3
67,67,3
68,68,3
69,69,3
70,70,3
71,71,3
72,72,3
73,73,3
74,74,3
75,75,3
76,76,3
77,77,3
78,78,3
79,79,3
80,80,3
81,81,3
82,82,3
83,83,3
84,84,3
85,85,3
86,86,3
87,87,3
88,88,3
89,89,3
90,90,3
91,91,3
92,92,3
93,93,3
94,94,3
95,95,3
96,96,3
97,97,3
98,98,3
99,99,3
100,100,3
101,101,3
102,102,3
103,103,3
104,104,3
105,105,3
106,106,3
107,107,3
108,108,3
109,109,3
110,110,3
111,111,3
112,112,3
113,113,3
114,114,3
115,115,3
116,116,3
117,117,3
118,118,3
119,119,3
120,120,3
121,121,3
122,122,3
123,123,3
124,124,3
125,125,3
126,126,3
127,127,3
128,128,3
129,129,3
130,130,3
131,131,3
132,132,3
133,133,3
134,134,3
135,135,3
136,136,3
137,137,3
138,138,3
139,139,3
140,140,3
141,141,3
142,142,3
143,143,3
144,144,3
145,145,3
146,146,3
147,147,3
148,148,3
149,149,3
150,150,3
151,151,3
152,152,3
153,153,3
154,154,3
155,155,3
156,156,3
157,157,3
158,158,3
159,159,3
160,160,3
161,161,3
162,162,3
163,163,3
164,164,3
165,165,3
166,166,3
167,167,3
168,168,3
169,169,3
170,170,3
171,171,3
172,172,3
173,173,3
174,174,3
175,175,3
176,176,3
177,177,3
178,178,3
179,179,3
180,180,3
181,181,3
182,182,3
183,183,3
184,184,3
185,185,3
186,186,3
187,187,3
188,188,3
189,189,3
190,190,3
191,191,3
192,192,3
193,193,3
194,194,3
195,195,3
196,196,3
197,197,3
198,198,3
199,199,3
200,200,3
201,201,3
202,202,3
203,203,3
204,204,3
205,205,3
206,206,3
207,207,3
208,208,3
209,209,3
210,210,3
211,211,3
212,212,3
213,213,3
214,214,3
215,215,3
216,216,3
217,217,3
218,218,3
219,219,3
220,220,3
221,221,3
222,222,3
223,223,3
224,224,3
225,225,3
226,226,3
227,227,3
228,228,3
229,229,3
230,230,3
231,231,3
232,232,3
233,233,3
234,234,3
235,235,3
236,236,3
237,237,3
238,238,3
239,239,3
240,240,3
241,241,3
242,242,3
243,243,3
244,244,3
245,245,3
246,246,3
247,247,3
248,248,3
249,249,3
250,250,3
251,251,3
252,252,3
253,253,3
254,254,3
255,255,3
256,256,3
257,257,3
258,258,3
259,259,3
260,260,3
261,261,3
262,262,3
263,263,3
264,264,3
265,265,3
266,266,3
267,267,3
268,268,3
269,269,3
270,270,3
271,271,3
272,272,3
273,273,3
274,274,3
275,275,3
276,276,3
277,277,3
278,278,3
279,279,3
280,280,3
281,281,3
282,282,3
283,283,3
284,284,3
285,285,3
286,286,3
287,287,3
288,288,3
289,289,3
290,290,3
291,291,3
292,292,3
293,293,3
294,294,3
295,295,3
296,296,3
297,297,3
298,298,3
299,299,3
300,300,3
301,301,3
302,302,3
303,303,3
304,304,3
305,305,3
306,306,3
307,307,3
308,308,3
309,309,3
310,310,3
311,311,3
312,312,3
313,313,3
314,314,3
315,315,3
316,316,3
317,317,3
318,318,3
319,319,3
320,320,3
321,321,3
322,322,3
323,323,3
324,324,3
325,325,3
326,326,3
327,327,3
328,328,3
329,329,3
330,330,3
331,331,3
332,332,3
333,333,3
334,334,3
335,335,3
